page_id,bank,bank_category,product_family,page_role,url,language,captured_at,collection_method,robots_allowed,snapshot_html_path,screenshot_path,data_source,word_count,sentence_count,avg_sentence_length,readability_score,readability_formula,readability_band,second_person_ratio,first_person_plural_count,question_count,urgency_marker_count,numeric_claim_count,formality_score,clarity_score,primary_product,rate_shown,rate_value_pct,rate_prominence,benefit_framing,fab_level,value_prop_clarity,disclaimer_present,disclaimer_word_share,image_count,hero_image_present,hero_image_area_ratio,total_image_area_ratio,animated_asset_count,has_animation,dominant_image_type,people_present,imagery_register,dominant_colour_hex,palette_hex,brand_colour_share,accent_colour_count,accent_locations,background_luminance,cta_contrast_ratio,page_height_px,section_count,cta_count,cta_above_fold,text_image_adjacent,text_to_image_ratio,above_fold_element_count,has_comparison_table,layout_archetype,aida_attention,aida_interest,aida_desire,aida_action,aida_coverage_score,persuasion_levers,persuasion_lever_count
ing_term_account_nl_01,ing,traditional,term_account,campaign_landing,https://www.example-ing.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/ing/term_account_1.html,data/raw/ing/term_account_1.png,synthetic_fixture,464,36,12.89,58.1,flesch_douma_nl,medium,0.501,11,1,0,5,2,2,Termijnrekening,True,2.75,hero,rational,feature,2,True,0.186,6,True,0.539,0.208,2,True,photo,True,lifestyle,#ff6200,#ff6200|#ffffff|#111111|#f4f4f4|#888888,0.136,3,text|icons|buttons|imagery,0.971,3.58,3681,7,1,False,False,2.12,8,True,hero_stacked,True,True,True,True,4,scarcity|authority,2
ing_term_account_nl_02,ing,traditional,term_account,product_detail,https://www.example-ing.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/ing/term_account_2.html,data/raw/ing/term_account_2.png,synthetic_fixture,547,37,14.78,60.5,flesch_douma_nl,medium,0.607,15,2,2,8,2,2,Termijnrekening,True,1.7,hero,rational,feature,3,True,0.185,6,True,0.43,0.154,3,True,photo,True,lifestyle,#ff6200,#ff6200|#ffffff|#111111|#f4f4f4|#888888,0.144,1,text|icons|buttons|imagery,0.954,4.65,4540,3,4,True,False,2.54,1,False,hero_stacked,True,True,True,True,4,scarcity|authority,2
kbc_term_account_nl_01,kbc,traditional,term_account,campaign_landing,https://www.example-kbc.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/kbc/term_account_1.html,data/raw/kbc/term_account_1.png,synthetic_fixture,314,22,14.27,57.2,flesch_douma_nl,medium,0.337,3,0,0,10,2,2,Termijnrekening,True,2.47,hero,rational,feature,3,True,0.218,4,False,0.17,0.247,0,False,photo,True,lifestyle,#00aeef,#00aeef|#ffffff|#111111|#f4f4f4|#888888,0.093,2,text|icons,0.955,6.41,4031,8,3,False,True,2.8,7,True,split_columns,True,True,True,True,4,authority,1
kbc_term_account_nl_02,kbc,traditional,term_account,product_detail,https://www.example-kbc.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/kbc/term_account_2.html,data/raw/kbc/term_account_2.png,synthetic_fixture,323,22,14.68,43.9,flesch_douma_nl,hard,0.404,4,3,0,8,3,3,Termijnrekening,True,2.39,hero,rational,feature,3,True,0.242,5,False,0.131,0.24,0,False,photo,True,lifestyle,#00aeef,#00aeef|#ffffff|#111111|#f4f4f4|#888888,0.131,2,text|icons,0.999,5.59,4305,7,1,True,True,2.19,6,True,split_columns,True,True,True,True,4,authority,1
bnp_paribas_fortis_term_account_nl_01,bnp_paribas_fortis,traditional,term_account,campaign_landing,https://www.example-bnp-paribas-fortis.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/bnp_paribas_fortis/term_account_1.html,data/raw/bnp_paribas_fortis/term_account_1.png,synthetic_fixture,673,58,11.6,58.0,flesch_douma_nl,medium,0.4,9,3,0,10,3,2,Termijnrekening,True,2.28,hero,rational,feature,3,True,0.134,6,True,0.663,0.407,0,False,photo,True,lifestyle,#00915a,#00915a|#ffffff|#111111|#f4f4f4|#888888,0.077,1,text|icons,0.974,5.16,4997,9,2,False,True,3.3,3,False,split_columns,True,True,True,True,4,authority|social_proof,2
bnp_paribas_fortis_term_account_nl_02,bnp_paribas_fortis,traditional,term_account,product_detail,https://www.example-bnp-paribas-fortis.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/bnp_paribas_fortis/term_account_2.html,data/raw/bnp_paribas_fortis/term_account_2.png,synthetic_fixture,578,39,14.82,41.2,flesch_douma_nl,hard,0.407,8,3,0,4,3,4,Termijnrekening,True,2.09,hero,rational,feature,4,True,0.225,6,True,0.395,0.28,0,False,photo,True,lifestyle,#00915a,#00915a|#ffffff|#111111|#f4f4f4|#888888,0.105,2,text|icons,0.978,5.95,3781,7,4,True,True,2.7,10,False,split_columns,True,True,True,True,4,authority|social_proof,2
argenta_term_account_nl_01,argenta,traditional,term_account,campaign_landing,https://www.example-argenta.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/argenta/term_account_1.html,data/raw/argenta/term_account_1.png,synthetic_fixture,466,32,14.56,42.0,flesch_douma_nl,hard,0.392,5,0,1,9,4,2,Termijnrekening,True,2.5,hero,rational,feature,3,True,0.17,4,False,0.233,0.325,0,False,photo,True,lifestyle,#e94e1b,#e94e1b|#ffffff|#111111|#f4f4f4|#888888,0.128,3,text|buttons,0.989,4.02,3975,6,2,True,True,2.87,7,False,long_form,True,True,True,True,4,liking,1
argenta_term_account_nl_02,argenta,traditional,term_account,product_detail,https://www.example-argenta.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/argenta/term_account_2.html,data/raw/argenta/term_account_2.png,synthetic_fixture,503,30,16.77,55.0,flesch_douma_nl,medium,0.483,2,1,0,8,4,3,Termijnrekening,True,1.99,hero,rational,feature,3,True,0.122,2,False,0.172,0.326,0,False,photo,True,lifestyle,#e94e1b,#e94e1b|#ffffff|#111111|#f4f4f4|#888888,0.041,5,text|buttons,0.972,4.51,4510,9,4,True,True,3.52,6,False,long_form,True,True,False,True,3,liking,1
crelan_term_account_nl_01,crelan,traditional,term_account,campaign_landing,https://www.example-crelan.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/crelan/term_account_1.html,data/raw/crelan/term_account_1.png,synthetic_fixture,581,40,14.53,46.6,flesch_douma_nl,hard,0.44,7,1,0,6,4,3,Termijnrekening,True,2.46,hero,rational,feature,2,True,0.151,3,False,0.097,0.268,0,False,photo,True,lifestyle,#009640,#009640|#ffffff|#111111|#f4f4f4|#888888,0.079,2,text|icons,0.953,4.77,3847,4,5,False,True,2.82,8,False,long_form,True,True,True,True,4,liking|authority,2
crelan_term_account_nl_02,crelan,traditional,term_account,product_detail,https://www.example-crelan.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/crelan/term_account_2.html,data/raw/crelan/term_account_2.png,synthetic_fixture,569,45,12.64,45.9,flesch_douma_nl,hard,0.474,7,3,1,7,4,2,Termijnrekening,True,3.24,hero,rational,feature,4,True,0.182,5,False,0.0,0.272,0,False,photo,True,lifestyle,#009640,#009640|#ffffff|#111111|#f4f4f4|#888888,0.082,3,text|icons,0.975,4.24,3495,6,3,True,True,3.17,4,True,long_form,True,True,False,True,3,liking|authority,2
belfius_term_account_nl_01,belfius,traditional,term_account,campaign_landing,https://www.example-belfius.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/belfius/term_account_1.html,data/raw/belfius/term_account_1.png,synthetic_fixture,766,55,13.93,49.0,flesch_douma_nl,hard,0.459,8,3,0,7,4,3,Termijnrekening,True,3.11,hero,rational,feature,3,True,0.146,3,False,0.127,0.295,0,False,photo,True,lifestyle,#c8102e,#c8102e|#ffffff|#111111|#f4f4f4|#888888,0.17,2,text|imagery,0.928,5.6,2754,9,1,True,True,3.18,6,False,split_columns,True,True,False,True,3,authority,1
belfius_term_account_nl_02,belfius,traditional,term_account,product_detail,https://www.example-belfius.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/belfius/term_account_2.html,data/raw/belfius/term_account_2.png,synthetic_fixture,658,48,13.71,46.7,flesch_douma_nl,hard,0.381,4,2,0,7,4,2,Termijnrekening,True,2.71,hero,rational,feature,3,True,0.168,5,False,0.191,0.359,0,False,photo,True,lifestyle,#c8102e,#c8102e|#ffffff|#111111|#f4f4f4|#888888,0.153,4,text|imagery,0.958,4.96,4424,9,3,True,True,3.88,6,True,split_columns,True,True,False,True,3,authority,1
revolut_term_account_nl_01,revolut,challenger,term_account,campaign_landing,https://www.example-revolut.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/revolut/term_account_1.html,data/raw/revolut/term_account_1.png,synthetic_fixture,162,10,16.2,54.6,flesch_douma_nl,medium,0.767,4,1,3,5,2,4,Savings vault,True,2.66,above_fold,emotional,benefit,3,True,0.108,14,True,0.452,0.468,11,True,render_3d,False,product,#0666eb,#0666eb|#ffffff|#111111|#f4f4f4|#888888,0.307,3,imagery|background|buttons,0.185,6.33,4488,4,4,True,False,0.95,8,False,card_grid,True,True,True,True,4,social_proof|scarcity|liking,3
revolut_term_account_nl_02,revolut,challenger,term_account,product_detail,https://www.example-revolut.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/revolut/term_account_2.html,data/raw/revolut/term_account_2.png,synthetic_fixture,131,7,18.71,70.6,flesch_douma_nl,easy,0.781,2,0,6,4,1,2,Savings vault,True,2.24,above_fold,emotional,benefit,3,True,0.075,14,True,0.704,0.51,4,True,render_3d,False,product,#0666eb,#0666eb|#ffffff|#111111|#f4f4f4|#888888,0.328,1,imagery|background|buttons,0.142,3.62,5274,5,6,True,False,1.19,7,False,card_grid,True,True,True,True,4,social_proof|scarcity|liking,3
n26_term_account_nl_01,n26,challenger,term_account,campaign_landing,https://www.example-n26.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/n26/term_account_1.html,data/raw/n26/term_account_1.png,synthetic_fixture,213,18,11.83,67.2,flesch_douma_nl,medium,0.696,8,1,2,3,2,4,Savings vault,True,2.07,above_fold,emotional,benefit,4,True,0.115,10,True,0.645,0.464,1,True,render_3d,False,product,#36a18b,#36a18b|#ffffff|#111111|#f4f4f4|#888888,0.224,2,imagery|buttons,0.928,6.97,5098,5,5,True,False,1.01,6,True,card_grid,True,True,True,True,4,social_proof|liking,2
n26_term_account_nl_02,n26,challenger,term_account,product_detail,https://www.example-n26.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/n26/term_account_2.html,data/raw/n26/term_account_2.png,synthetic_fixture,135,9,15.0,61.0,flesch_douma_nl,medium,0.587,4,1,1,2,1,5,Savings vault,True,2.67,above_fold,emotional,benefit,3,True,0.108,7,True,0.602,0.463,3,True,render_3d,False,product,#36a18b,#36a18b|#ffffff|#111111|#f4f4f4|#888888,0.238,2,imagery|buttons,0.915,6.16,6553,8,6,True,False,0.93,7,True,card_grid,True,True,True,True,4,social_proof|liking,2
bunq_term_account_nl_01,bunq,challenger,term_account,campaign_landing,https://www.example-bunq.invalid/nl/term_account/1,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/bunq/term_account_1.html,data/raw/bunq/term_account_1.png,synthetic_fixture,120,9,13.33,65.4,flesch_douma_nl,medium,0.792,9,3,1,3,1,4,Savings vault,True,2.61,above_fold,emotional,benefit,4,True,0.052,5,True,0.538,0.539,6,True,illustration,False,product,#3394ff,#3394ff|#ffffff|#111111|#f4f4f4|#888888,0.245,2,imagery|background|buttons,0.257,3.1,5139,6,8,True,False,0.92,5,True,card_grid,True,True,True,True,4,liking|social_proof,2
bunq_term_account_nl_02,bunq,challenger,term_account,product_detail,https://www.example-bunq.invalid/nl/term_account/2,nl,2026-09-15T09:00:00+00:00,headless_render,True,data/raw/bunq/term_account_2.html,data/raw/bunq/term_account_2.png,synthetic_fixture,193,15,12.87,71.0,flesch_douma_nl,easy,0.707,3,5,2,3,2,4,Savings vault,True,2.41,above_fold,emotional,benefit,3,True,0.08,6,True,0.484,0.602,2,True,illustration,False,product,#3394ff,#3394ff|#ffffff|#111111|#f4f4f4|#888888,0.265,1,imagery|background|buttons,0.205,5.35,5715,8,5,True,False,0.75,4,False,card_grid,True,True,True,True,4,liking|social_proof,2
