page_id,bank,bank_category,product_family,page_role,url,language,captured_at,collection_method,robots_allowed,snapshot_html_path,screenshot_path,data_source,extraction_model,capture_quality,http_status,shadow_hosts_flattened,capture_quality_note,word_count,sentence_count,avg_sentence_length,readability_score,readability_formula,readability_band,word_count_band,sentence_count_band,avg_sentence_length_band,second_person_ratio_band,first_person_plural_band,disclaimer_word_share_band,text_to_image_ratio_band,second_person_ratio,first_person_plural_count,question_count,urgency_marker_count,numeric_claim_count,formality_score,clarity_score,primary_product,rate_shown,rate_value_pct,rate_prominence,benefit_framing,fab_level,value_prop_clarity,disclaimer_present,disclaimer_word_share,image_count,hero_image_present,hero_image_area_ratio,total_image_area_ratio,animated_asset_count,has_animation,dominant_image_type,people_present,imagery_register,dominant_colour_hex,palette_hex,brand_colour_share,accent_colour_count,accent_locations,background_luminance,cta_contrast_ratio,page_height_px,section_count,cta_count,cta_above_fold,text_image_layout,text_to_image_ratio,above_fold_element_count,has_comparison_table,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,aida_coverage_score,persuasion_levers,persuasion_lever_count,audience_segment,is_bundled_offer,cross_sell_delivery_model,target_personas,cross_sold_products,subscription_style_framing,rate_framing,primary_cta_type,switching_framing,regulatory_disclosure_prominence,hidden_conditions_behind_free_claim,esg_claim_specificity,green_product_specific_benefit,mentions_loyalty_or_referral,images_have_alt_text,meta_title,institutional_trust_signal_present,youth_student_targeting,secondary_bank_positioning,expat_cross_border_targeting,branch_network_cited_as_benefit,fast_digital_onboarding_claim,first_time_investor_targeting,senior_preretirement_targeting
kbc_current_account_pack_nl_02,kbc,traditional,current_account_pack,campaign_landing,https://www.kbc.be/particulieren/nl/product/betalen/zichtrekeningen/basisrekening-openen.html,nl,2026-09-21 04:48:14.259669+00:00,headless_render,True,data/raw/kbc/current_account_pack_nl_02.html,data/raw/kbc/current_account_pack_nl_02.png,real,deepseek/deepseek-flash,ok,200,1,looks like a campaign page,2128,102,20.86,27.6,flesch_douma_nl,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.855,22,19,1,14,3,,KBC-Basisrekening,False,,,rational,feature,,True,0.003,8,True,0.174,0.042,1,True,photo,True,lifestyle,#ffffff,#ffffff|#f4f8fa|#7997af|#feffff|#fffffe,0.003,4,<NA>,0.86,12.24,3841,1,3,False,,266.0,44,True,,,,,,,,<NA>,,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,True,Ontdek de KBC-Basisrekening - KBC Bank & Verzekering,False,False,False,False,False,False,False,False
ing_current_account_pack_fr_03,ing,traditional,current_account_pack,campaign_landing,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go,fr,2026-09-21 04:50:37.835795+00:00,headless_render,True,data/raw/ing/current_account_pack_fr_03.html,data/raw/ing/current_account_pack_fr_03.png,real,deepseek/deepseek-flash,ok,200,185,looks like a campaign page,2080,113,18.41,58.1,kandel_moles_fr,medium,long,long,medium_sentences,mostly_direct,frequent,heavy,balanced,0.812,15,16,0,19,3,4,ING Go (pack compte à vue),False,,above_fold,mixed,feature,4,True,0.326,28,True,0.533,0.165,1,True,photo,True,lifestyle,#ffffff,#ffffff|#eeeded|#cbbdbe|#fbfcfc|#fffcfa,0.004,4,background|buttons|text,0.887,7.01,6842,,0,False,overlaid,74.29,29,False,hero_stacked,True,False,True,True,True,3,reciprocity,1,retail,True,internal_advisor_led,mass_market,other,False,not_shown,self_service_online,not_applicable,not_applicable,True,no_claim,False,False,False,Compte à vue gratuit ? ING Go pour bien démarrer - ING Belgique,False,True,False,False,False,True,False,False
kbc_current_account_pack_fr_01,kbc,traditional,current_account_pack,campaign_landing,https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html,fr,2026-09-21 09:17:47.643600+00:00,headless_render,True,data/raw/kbc/current_account_pack_fr_01.html,data/raw/kbc/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,1,looks like a campaign page,2644,105,25.18,29.4,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.885,18,21,0,16,3,4,Compte Base KBC,False,,below_fold,rational,feature,4,True,0.003,8,True,0.174,0.042,1,True,photo,True,lifestyle,#ffffff,#ffffff|#fefefe|#adc1cf|#fffefe|#fffffe,0.001,4,buttons|icons|imagery,0.896,,3772,1,5,False,beside,330.5,43,True,split_columns,False,False,True,False,True,2,authority,1,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,True,Découvrez le Compte Base KBC - KBC Banque & Assurance,False,False,False,False,False,False,False,False
n26_current_account_pack_fr_01,n26,challenger,current_account_pack,campaign_landing,https://n26.com/fr-fr/compte-bancaire-gratuit,fr,2026-09-21 09:18:01.533404+00:00,headless_render,True,data/raw/n26/current_account_pack_fr_01.html,data/raw/n26/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,1,looks like a campaign page,2019,90,22.43,42.1,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,balanced,0.78,24,8,0,9,3,5,"N26 Standard, le compte bancaire gratuit",False,,absent,mixed,benefit,4,True,0.038,29,True,0.963,0.587,0,False,photo,True,lifestyle,#293830,#293830|#efece8|#ffffff|#8a9990|#fcfcfb,0.024,4,background|imagery,0.579,12.47,8005,9,11,False,beside,69.62,22,False,hero_stacked,True,False,True,True,True,3,liking,1,retail,False,partner_addon_digital,mass_market,savings_account|investment,True,not_shown,self_service_online,not_applicable,not_applicable,True,no_claim,False,True,False,"N26 Standard, le compte bancaire gratuit",False,False,False,False,False,False,True,False
belfius_other_fr_01,belfius,traditional,other,campaign_landing,https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx,fr,2026-09-21 09:18:23.565062+00:00,headless_render,True,data/raw/belfius/other_fr_01.html,data/raw/belfius/other_fr_01.png,real,deepseek/deepseek-flash,ok,200,206,looks like a campaign page,1354,45,30.09,27.0,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.606,26,8,0,2,3,2,Optimisez votre pension (épargne-pension / pension planning),False,,absent,rational,benefit,2,False,0.0,11,True,0.364,0.15,1,True,photo,True,lifestyle,#2a182b,#2a182b|#fdfdfd|#8b8787|#422e3b|#211525,0.001,4,text|icons|imagery|buttons,0.34,6.16,2179,28,9,False,overlaid,123.09,20,False,hero_stacked,False,True,True,True,True,4,social_proof|liking,2,retail,False,not_applicable,retiree,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,False,Optimisez votre pension - Belfius,False,False,False,False,False,False,False,True
ing_savings_account_fr_01,ing,traditional,savings_account,campaign_landing,https://www.ing.be/fr/particuliers/epargner,fr,2026-09-21 09:18:44.033134+00:00,headless_render,True,data/raw/ing/savings_account_fr_01.html,data/raw/ing/savings_account_fr_01.png,real,deepseek/deepseek-flash,ok,200,170,looks like a campaign page,1576,68,23.18,40.0,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,image_heavy,0.781,14,17,3,2,3,3,Comptes d'épargne,False,,absent,emotional,benefit,3,False,0.0,49,True,0.103,0.204,0,False,photo,True,lifestyle,#ffffff,#ffffff|#eeedec|#fdfdfd|#bfb7b3|#fffdfb,0.0,4,text,0.887,7.01,5730,1,2,False,stacked,32.16,37,False,card_grid,False,False,True,True,False,2,reciprocity|authority|scarcity,3,retail,False,not_applicable,family|mass_market,term_account,False,not_shown,self_service_online,not_applicable,absent,False,no_claim,False,False,False,Épargner en tant que particulier - ING Belgique,False,True,False,False,False,False,False,False
bnp_paribas_fortis_mortgage_fr_01,bnp_paribas_fortis,traditional,mortgage,campaign_landing,https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire,fr,2026-09-21 09:19:05.295738+00:00,headful_render,True,data/raw/bnp_paribas_fortis/mortgage_fr_01.html,data/raw/bnp_paribas_fortis/mortgage_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,3172,166,19.11,41.8,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,minimal,text_heavy,0.681,73,32,1,10,4,5,Crédit hypothécaire / prêt habitation (prêt hypothécaire),False,,absent,rational,advantage,4,True,0.031,20,True,0.036,0.119,0,False,photo,True,lifestyle,#f5f6f7,#f5f6f7|#ffffff|#626362|#dadbda|#fefefe,0.0,4,imagery|buttons,0.745,12.63,11413,21,10,False,overlaid,158.6,32,True,hero_stacked,False,True,True,TRUE,True,4,commitment|liking|reciprocity,3,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,present_not_prominent,False,vague_adjective_only,True,False,False,Prêt hypothécaire | BNP Paribas Fortis,False,False,False,False,False,False,False,False
bnp_paribas_fortis_current_account_pack_fr_02,bnp_paribas_fortis,traditional,current_account_pack,campaign_landing,https://www.bnpparibasfortis.be/fr/public/particuliers/banque-au-quotidien/comptes-bancaires/compte-a-vue-comparer,fr,2026-09-21 09:19:26.497823+00:00,headful_render,True,data/raw/bnp_paribas_fortis/current_account_pack_fr_02.html,data/raw/bnp_paribas_fortis/current_account_pack_fr_02.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,2199,66,33.32,33.7,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.576,61,8,1,17,4,,"Packs de comptes de paiement (Easy Guide, Easy Go, Hello Pack)",False,,,rational,feature,,True,0.022,17,True,0.036,0.104,0,False,photo,True,mixed,#ffffff,#ffffff|#f0f2f2|#9aa093|#fdfdfd|#fffefe,0.0,4,<NA>,0.843,12.63,6387,18,23,False,,129.35,43,False,,,,,,,,<NA>,,retail,True,not_applicable,mass_market|student,,False,not_shown,self_service_online,not_applicable,not_applicable,True,no_claim,False,False,False,Comparer les comptes à vue | BNP Paribas Fortis,False,True,False,False,False,True,False,False
revolut_current_account_pack_fr_01,revolut,challenger,current_account_pack,campaign_landing,https://www.revolut.com/fr-BE/bank-account/,fr,2026-09-21 09:19:48.600289+00:00,headless_render,True,data/raw/revolut/current_account_pack_fr_01.html,data/raw/revolut/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,0,looks like a campaign page,1352,55,24.58,32.8,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.759,13,0,1,9,2,4,Compte courant,True,0.0,above_fold,mixed,feature,3,False,0.0,10,True,1.0,0.243,1,True,render_3d,True,mixed,#ffffff,#ffffff|#191c1f|#060607|#f5f5f5|#585a5c,0.0,4,background,0.532,21.0,6615,10,7,False,overlaid,135.2,17,False,hero_stacked,True,False,True,TRUE,True,3,social_proof|authority|liking,3,mixed,True,partner_addon_digital,mass_market|family|entrepreneur_self_employed|expat,investment|other,True,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,True,L'application financière tout-en-un pour votre argent | Revolut Belgique,True,True,False,True,False,False,False,False
ing_current_account_pack_fr_02,ing,traditional,current_account_pack,campaign_landing,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more,fr,2026-09-21 09:20:13.956282+00:00,headless_render,True,data/raw/ing/current_account_pack_fr_02.html,data/raw/ing/current_account_pack_fr_02.png,real,deepseek/deepseek-flash,ok,200,263,looks like a campaign page,4217,218,19.34,49.6,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,heavy,text_heavy,0.846,24,18,1,32,3,4,Pack ING More,False,,below_fold,mixed,benefit,4,True,0.494,33,True,0.533,0.101,0,False,photo,True,mixed,#ffffff,#ffffff|#f2f1f2|#d9c2bc|#fcfcfc|#fffcf9,0.018,4,background|buttons|imagery,0.908,7.01,12088,,4,False,stacked,127.79,29,False,hero_stacked,True,True,True,True,True,4,reciprocity|scarcity,2,retail,True,partner_addon_digital,student|mass_market,other,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,False,Ouvrir un compte bancaire ING ? Choisissez le pack More - ING Belgique,False,True,False,False,False,False,False,False
