page_id,bank,bank_category,product_family,page_role,url,language,captured_at,collection_method,robots_allowed,snapshot_html_path,screenshot_path,data_source,extraction_model,capture_quality,http_status,shadow_hosts_flattened,capture_quality_note,word_count,sentence_count,avg_sentence_length,readability_score,readability_formula,readability_band,word_count_band,sentence_count_band,avg_sentence_length_band,second_person_ratio_band,first_person_plural_band,disclaimer_word_share_band,text_to_image_ratio_band,second_person_ratio,first_person_plural_count,question_count,urgency_marker_count,numeric_claim_count,primary_product,rate_shown,rate_value_pct,benefit_framing,fab_level,disclaimer_present,disclaimer_word_share,image_count,hero_image_present,hero_image_area_ratio,total_image_area_ratio,animated_asset_count,has_animation,dominant_image_type,people_present,imagery_register,dominant_colour_hex,palette_hex,brand_colour_share,accent_colour_count,background_luminance,cta_contrast_ratio,page_height_px,section_count,cta_count,cta_above_fold,text_to_image_ratio,above_fold_element_count,has_comparison_table,audience_segment,is_bundled_offer,cross_sell_delivery_model,target_personas,cross_sold_products,subscription_style_framing,rate_framing,primary_cta_type,switching_framing,regulatory_disclosure_prominence,hidden_conditions_behind_free_claim,esg_claim_specificity,green_product_specific_benefit,mentions_loyalty_or_referral,images_have_alt_text,meta_title,institutional_trust_signal_present,youth_student_targeting,secondary_bank_positioning,expat_cross_border_targeting,branch_network_cited_as_benefit,fast_digital_onboarding_claim,first_time_investor_targeting,senior_preretirement_targeting
kbc_current_account_pack_fr_01,kbc,traditional,current_account_pack,campaign_landing,https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html,fr,2026-09-21T04:47:57.410618+00:00,headless_render,True,data/raw/kbc/current_account_pack_fr_01.html,data/raw/kbc/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,ok,200,1,looks like a campaign page,2644,105,25.18,29.4,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.885,18,21,0,16,Compte Base KBC,False,,rational,feature,True,0.003,8,True,0.174,0.042,1,True,photo,True,lifestyle,#ffffff,#ffffff|#fefefe|#adc1cf|#fffefe|#fffffe,0.001,4,0.896,,3772,1.0,5,False,330.5,43,True,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,True,Découvrez le Compte Base KBC - KBC Banque & Assurance,False,False,False,False,False,False,False,False
kbc_current_account_pack_nl_02,kbc,traditional,current_account_pack,campaign_landing,https://www.kbc.be/particulieren/nl/product/betalen/zichtrekeningen/basisrekening-openen.html,nl,2026-09-21T04:48:14.259669+00:00,headless_render,True,data/raw/kbc/current_account_pack_nl_02.html,data/raw/kbc/current_account_pack_nl_02.png,real,deepseek/deepseek-flash,ok,200,1,looks like a campaign page,2128,102,20.86,27.6,flesch_douma_nl,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.855,22,19,1,14,KBC-Basisrekening,False,,rational,feature,True,0.003,8,True,0.174,0.042,1,True,photo,True,lifestyle,#ffffff,#ffffff|#f4f8fa|#7997af|#feffff|#fffffe,0.003,4,0.86,12.24,3841,1.0,10,False,266.0,44,True,retail,False,not_applicable,mass_market,,False,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,True,Ontdek de KBC-Basisrekening - KBC Bank & Verzekering,False,False,False,False,False,False,False,False
n26_current_account_pack_fr_01,n26,challenger,current_account_pack,campaign_landing,https://n26.com/fr-fr/compte-bancaire-gratuit,fr,2026-09-21T04:48:38.821353+00:00,headless_render,True,data/raw/n26/current_account_pack_fr_01.html,data/raw/n26/current_account_pack_fr_01.png,real,,ok,200,1,looks like a campaign page,2019,90,22.43,42.1,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,balanced,0.78,24,8,0,9,,False,,,,True,0.038,29,True,0.963,0.587,1,True,,,,#293830,#293830|#efece8|#ffffff|#8a9990|#fcfcfb,0.024,4,0.579,12.47,8005,9.0,11,False,69.62,22,False,,,,,,,,,,,,,,True,False,"N26 Standard, le compte bancaire gratuit",,,,,,,,
belfius_other_fr_01,belfius,traditional,other,campaign_landing,https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx,fr,2026-09-21T04:49:16.817901+00:00,headless_render,True,data/raw/belfius/other_fr_01.html,data/raw/belfius/other_fr_01.png,real,deepseek/deepseek-flash,ok,200,206,looks like a campaign page,1354,45,30.09,27.0,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.606,26,8,0,2,Épargne-pension (Optimisez votre pension),False,,mixed,benefit,False,0.0,11,True,0.364,0.15,1,True,photo,True,lifestyle,#2a182b,#2a182b|#fdfdfd|#8b8788|#422e3b|#211525,0.001,4,0.34,6.16,2179,28.0,9,False,123.09,20,False,retail,False,not_applicable,retiree|mass_market,savings_account|investment,False,not_shown,book_advisor_or_branch,not_applicable,not_applicable,False,no_claim,False,False,False,Optimisez votre pension - Belfius,False,False,False,False,False,False,False,True
ing_savings_account_fr_01,ing,traditional,savings_account,campaign_landing,https://www.ing.be/fr/particuliers/epargner,fr,2026-09-21T04:49:34.107510+00:00,headless_render,True,data/raw/ing/savings_account_fr_01.html,data/raw/ing/savings_account_fr_01.png,real,deepseek/deepseek-flash,ok,200,170,looks like a campaign page,1576,68,23.18,40.0,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,image_heavy,0.781,14,17,3,2,Comptes d'épargne,False,,mixed,benefit,False,0.0,49,True,0.103,0.204,0,False,photo,True,lifestyle,#ffffff,#ffffff|#e4e3e3|#9c908b|#fafafa|#fff7f1,0.0,4,0.827,7.01,5730,1.0,2,False,32.16,37,False,retail,False,not_applicable,family|mass_market,term_account,False,not_shown,self_service_online,not_applicable,absent,False,no_claim,False,False,False,Épargner en tant que particulier - ING Belgique,False,True,False,False,False,False,False,False
bnp_paribas_fortis_mortgage_fr_01,bnp_paribas_fortis,traditional,mortgage,campaign_landing,https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire,fr,2026-09-21T04:50:04.603677+00:00,headless_render,True,data/raw/bnp_paribas_fortis/mortgage_fr_01.html,data/raw/bnp_paribas_fortis/mortgage_fr_01.png,real,deepseek/deepseek-flash,unusable,503,0,"HTTP 503 - the server did not serve the page; error or maintenance page - matched 'currently doing maintenance'; only 87 words, below the 120-word plausibility floor",87,10,8.7,71.3,kandel_moles_fr,easy,very_short,short,short_sentences,rarely_direct,occasional,minimal,image_heavy,0.0,3,0,0,0,none,False,,rational,feature,False,0.0,4,True,0.004,0.004,0,False,icon_only,False,none,#333333,#333333|#ffffff|#819c93|#3b373b|#2f3335,0.04,4,0.363,,925,,0,False,21.75,13,False,retail,False,not_applicable,,,False,not_shown,other,not_applicable,absent,False,no_claim,False,False,True,Bank BNP Paribas | The bank for a changing world,False,False,False,False,False,False,False,False
revolut_current_account_pack_fr_01,revolut,challenger,current_account_pack,campaign_landing,https://www.revolut.com/fr-BE/bank-account/,fr,2026-09-21T04:50:12.730941+00:00,headless_render,True,data/raw/revolut/current_account_pack_fr_01.html,data/raw/revolut/current_account_pack_fr_01.png,real,deepseek/deepseek-flash,unusable,403,0,HTTP 403 - the server did not serve the page; only 17 words - not a campaign page,17,5,3.4,69.3,kandel_moles_fr,medium,very_short,very_short,short_sentences,rarely_direct,rare,minimal,image_heavy,0.0,0,0,0,0,unknown,False,,rational,feature,False,0.0,1,True,0.079,0.079,0,False,none,False,none,#ffffff,#ffffff|#f3f2f3|#bfbdc4|#fefffd|#fffffe,0.0,4,0.987,,900,,0,False,17.0,3,False,retail,False,not_applicable,,,False,not_shown,other,not_applicable,not_applicable,False,no_claim,False,False,False,Just a moment...,False,False,False,False,False,False,False,False
ing_current_account_pack_fr_02,ing,traditional,current_account_pack,campaign_landing,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more,fr,2026-09-21T04:50:20.974430+00:00,headless_render,True,data/raw/ing/current_account_pack_fr_02.html,data/raw/ing/current_account_pack_fr_02.png,real,deepseek/deepseek-flash,ok,200,263,looks like a campaign page,4217,218,19.34,49.6,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,heavy,text_heavy,0.846,24,18,1,32,pack ING More,False,,mixed,benefit,True,0.494,33,True,0.533,0.101,1,True,photo,True,lifestyle,#ffffff,#ffffff|#f3f2f2|#ddc1b9|#fcfcfd|#fffcfa,0.027,4,0.91,7.01,12088,,4,False,127.79,24,False,retail,True,partner_addon_digital,mass_market|student,other,False,capped_tiered,self_service_online,not_applicable,present_not_prominent,False,no_claim,False,False,False,Ouvrir un compte bancaire ING ? Choisissez le pack More - ING Belgique,False,True,False,False,False,False,False,False
ing_current_account_pack_fr_03,ing,traditional,current_account_pack,campaign_landing,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go,fr,2026-09-21T04:50:37.835795+00:00,headless_render,True,data/raw/ing/current_account_pack_fr_03.html,data/raw/ing/current_account_pack_fr_03.png,real,deepseek/deepseek-flash,ok,200,185,looks like a campaign page,2080,113,18.41,58.1,kandel_moles_fr,medium,long,long,medium_sentences,mostly_direct,frequent,heavy,balanced,0.812,15,16,0,19,ING Go (pack compte à vue),False,,mixed,feature,True,0.326,28,True,0.533,0.165,1,True,photo,True,lifestyle,#ffffff,#ffffff|#eeeded|#cbbdbe|#fbfcfc|#fffcfa,0.004,4,0.887,7.01,6842,,2,False,74.29,29,False,retail,True,internal_advisor_led,mass_market,other,False,not_shown,self_service_online,not_applicable,not_applicable,True,no_claim,False,False,False,Compte à vue gratuit ? ING Go pour bien démarrer - ING Belgique,False,True,False,False,False,True,False,False
argenta_current_account_pack_fr_01,argenta,traditional,current_account_pack,campaign_landing,https://www.argenta.be/fr/formules.html,fr,2026-09-21T04:50:56.762501+00:00,headless_render,True,data/raw/argenta/current_account_pack_fr_01.html,data/raw/argenta/current_account_pack_fr_01.png,real,,ok,200,0,looks like a campaign page,1831,46,39.8,20.3,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.746,16,4,2,33,,False,,,,True,0.009,11,True,0.025,0.023,0,False,,,,#ffffff,#ffffff|#b6bbb9|#f0f2f1|#fdfdfd|#fefffe,0.0,4,0.886,4.94,3244,3.0,7,False,166.45,34,True,,,,,,,,,,,,,,False,False,Découvrez nos formules | Argenta,,,,,,,,
