rater,page_id,bank,bank_category,product_family,language,url,screenshot_path,capture_quality,formality_score,clarity_score,rate_prominence,value_prop_clarity,accent_locations,text_image_layout,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,persuasion_levers
dan,argenta_current_account_pack_fr_01,argenta,traditional,current_account_pack,fr,https://www.argenta.be/fr/formules/green.html#compte,data/raw/argenta/current_account_pack_fr_01.png,ok,4.0,3.0,below_fold,2.0,text|icons|imagery|buttons,beside,hero_stacked,False,False,True,False,True,
dan,belfius_other_fr_01,belfius,traditional,pension,fr,https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx,data/raw/belfius/other_fr_01.png,ok,2.0,2.0,absent,2.0,text|icons|imagery|buttons,overlaid,hero_stacked,False,True,True,True,True,social_proof|liking
dan,bnp_paribas_fortis_mortgage_fr_01,bnp_paribas_fortis,traditional,mortgage,fr,https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire,data/raw/bnp_paribas_fortis/mortgage_fr_01.png,unusable,,,,,,,,,,,,,
dan,bunq_current_account_pack_fr_01,bunq,challenger,current_account_pack,fr,https://www.bunq.com/fr-be/personal/plans/bunq-free,data/raw/bunq/current_account_pack_fr_01.png,ok,2.0,5.0,hero,4.0,imagery|background,,hero_stacked,True,False,True,True,True,social_proof|liking|commitment
dan,crelan_current_account_pack_fr_01,crelan,traditional,current_account_pack,fr,https://www.crelan.be/fr/particuliers/payer/comptes-vue/produit/economy-plus-pack,data/raw/crelan/current_account_pack_fr_01.png,ok,3.0,4.0,above_fold,3.0,text|icons|background,overlaid,hero_stacked,False,False,True,False,True,liking
dan,ing_current_account_pack_fr_02,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs,data/raw/ing/current_account_pack_fr_02.png,ok,3.0,4.0,below_fold,4.0,text|icons|imagery|background|buttons,stacked,hero_stacked,True,True,True,True,True,reciprocity|social_proof|scarcity
dan,ing_current_account_pack_fr_03,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go,data/raw/ing/current_account_pack_fr_03.png,ok,3.0,4.0,below_fold,4.0,text|icons|imagery|buttons,beside,split_columns,True,False,True,True,True,reciprocity|social_proof|scarcity
dan,ing_savings_account_fr_01,ing,traditional,savings_account,fr,https://www.ing.be/fr/particuliers/epargner,data/raw/ing/savings_account_fr_01.png,ok,3.0,3.0,absent,3.0,text|icons|imagery,stacked,card_grid,True,,True,True,False,reciprocity|authority|scarcity
dan,kbc_current_account_pack_en_01,kbc,traditional,current_account_pack,en,https://www.kbc.be/retail/en/products/payments/current-accounts/open-a-basic-account.html?zone=topnav,data/raw/kbc/current_account_pack_en_01.png,ok,3.0,4.0,below_fold,3.0,text|imagery|buttons,beside,split_columns,False,False,True,True,True,authority
dan,kbc_current_account_pack_fr_01,kbc,traditional,current_account_pack,fr,https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html?zone=topnav,data/raw/kbc/current_account_pack_fr_01.png,ok,3.0,4.0,below_fold,3.0,text|imagery|buttons,beside,split_columns,False,False,True,True,True,authority
dan,n26_current_account_pack_fr_01,n26,challenger,current_account_pack,fr,https://n26.com/fr-fr/compte-bancaire-gratuit,data/raw/n26/current_account_pack_fr_01.png,ok,2.0,5.0,hero,4.0,icons|imagery|background|buttons,beside,hero_stacked,True,False,True,True,True,liking
dan,revolut_current_account_pack_fr_01,revolut,challenger,current_account_pack,fr,https://www.revolut.com/fr-BE/bank-account/,data/raw/revolut/current_account_pack_fr_01.png,ok,2.0,4.0,above_fold,4.0,,,hero_stacked,True,False,True,True,True,social_proof|authority|liking
dan,argenta_investment_fr_03,argenta,traditional,investment,fr,https://www.argenta.be/fr/investir.html,data/raw/argenta/investment_fr_02.png,ok,,,,,,,,,,,,,
dan,argenta_pension_fr_04,argenta,traditional,pension,fr,https://www.argenta.be/fr/investir/epargne-pension.html,data/raw/argenta/pension_fr_03.png,ok,,,,,,,,,,,,,
dan,belfius_current_account_pack_fr_02,belfius,traditional,current_account_pack,fr,https://www.belfius.be/retail/fr/produits/paiement/compte-bancaire/,data/raw/belfius/current_account_pack_fr_02.png,ok,,,,,,,,,,,,,
dan,belfius_savings_account_fr_04,belfius,traditional,savings_account,fr,https://www.belfius.be/site/retail/fr/produits/epargner,data/raw/belfius/savings_account_fr_03.png,ok,,,,,,,,,,,,,
dan,beobank_current_account_pack_fr_01,beobank,traditional,current_account_pack,fr,https://www.beobank.be/fr/payer/comptes-courants/compte-go.html,data/raw/beobank/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,
dan,beobank_investment_fr_03,beobank,traditional,investment,fr,https://www.beobank.be/fr/investir.html,data/raw/beobank/investment_fr_02.png,ok,,,,,,,,,,,,,
dan,beobank_mortgage_fr_04,beobank,traditional,mortgage,fr,https://www.beobank.be/fr/emprunter/prets-habitation/credit-hypothecaire.html,data/raw/beobank/mortgage_fr_03.png,ok,,,,,,,,,,,,,
dan,beobank_pension_fr_05,beobank,traditional,pension,fr,https://www.beobank.be/fr/epargner/epargne-pension.html,data/raw/beobank/pension_fr_04.png,ok,,,,,,,,,,,,,
dan,beobank_savings_account_fr_06,beobank,traditional,savings_account,fr,https://www.beobank.be/fr/epargner.html,data/raw/beobank/savings_account_fr_05.png,ok,,,,,,,,,,,,,
dan,beobank_term_account_fr_07,beobank,traditional,term_account,fr,https://www.beobank.be/fr/epargner/epargne-long-terme.html,data/raw/beobank/term_account_fr_06.png,ok,,,,,,,,,,,,,
dan,bnp_paribas_fortis_current_account_pack_fr_02,bnp_paribas_fortis,traditional,current_account_pack,fr,https://www.bnpparibasfortis.be/fr/public/particuliers/banque-au-quotidien/comptes-bancaires/compte-a-vue-comparer,data/raw/bnp_paribas_fortis/current_account_pack_fr_02.png,ok,,,,,,,,,,,,,
dan,bnp_paribas_fortis_investment_fr_04,bnp_paribas_fortis,traditional,investment,fr,https://www.bnpparibasfortis.be/fr/public/private-banking/investir,data/raw/bnp_paribas_fortis/investment_fr_03.png,ok,,,,,,,,,,,,,
dan,cbc_current_account_pack_fr_01,cbc,traditional,current_account_pack,fr,https://www.cbc.be/particuliers/fr/produits/paiements/comptes-a-vue/compte-bancaire-gratuit.html,data/raw/cbc/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,
dan,cbc_investment_fr_03,cbc,traditional,investment,fr,https://www.cbc.be/particuliers/fr/placements.html?zone=topnav,data/raw/cbc/investment_fr_02.png,ok,,,,,,,,,,,,,
dan,cbc_pension_fr_04,cbc,traditional,pension,fr,https://www.cbc.be/particuliers/fr/epargne-pension.html?zone=topnav,data/raw/cbc/pension_fr_03.png,ok,,,,,,,,,,,,,
dan,cbc_savings_account_fr_05,cbc,traditional,savings_account,fr,https://www.cbc.be/particuliers/fr/epargner.html?zone=topnav,data/raw/cbc/savings_account_fr_04.png,ok,,,,,,,,,,,,,
dan,crelan_mortgage_fr_03,crelan,traditional,mortgage,fr,https://www.crelan.be/fr/particuliers/emprunter/habitation/produit/pret-hypothecaire,data/raw/crelan/mortgage_fr_02.png,ok,,,,,,,,,,,,,
dan,crelan_pension_fr_04,crelan,traditional,pension,fr,https://www.crelan.be/fr/particuliers/pension-et-succession,data/raw/crelan/pension_fr_03.png,ok,,,,,,,,,,,,,
