rater;page_id;bank;bank_category;product_family;language;url;screenshot_path;capture_quality;formality_score;clarity_score;rate_prominence;value_prop_clarity;accent_locations;text_image_layout;layout_archetype;mobile_first_design_signal;aida_attention;aida_interest;aida_desire;aida_action;persuasion_levers;Notes
claude;kbc_current_account_pack_nl_02;kbc;traditional;current_account_pack;nl;https://www.kbc.be/particulieren/nl/product/betalen/zichtrekeningen/basisrekening-openen.html;data/raw/kbc/current_account_pack_nl_02.png;ok;2;3;below_fold;3;buttons|text|icons;beside;hero_stacked;FALSE;FALSE;TRUE;FALSE;TRUE;reciprocity;"cookie modal covers most of the first screen so aida_attention/layout_archetype are judged from the partly-visible hero; layout_archetype: hero_stacked vs long_form is close, page is mostly stacked FAQ/table sections after a top hero"
claude;ing_current_account_pack_fr_03;ing;traditional;current_account_pack;fr;https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go;data/raw/ing/current_account_pack_fr_03.png;ok;3;4;above_fold;4;buttons|icons|text;overlaid;long_form;FALSE;TRUE;TRUE;TRUE;FALSE;reciprocity|social_proof|scarcity;"aida_action: several pack tiers (Go/More/Extra/Max) compete for the same visitor without an explicit segmentation cue, leaning False but arguable"
claude;kbc_current_account_pack_fr_01;kbc;traditional;current_account_pack;fr;https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html;data/raw/kbc/current_account_pack_fr_01.png;ok;3;3;below_fold;3;buttons|text|icons;beside;hero_stacked;FALSE;FALSE;TRUE;FALSE;TRUE;reciprocity;"same template/layout as the NL KBC page - cookie modal covers most of the first screen, same layout_archetype/aida_attention uncertainty as that page"
claude;n26_current_account_pack_fr_01;n26;challenger;current_account_pack;fr;https://n26.com/fr-fr/compte-bancaire-gratuit;data/raw/n26/current_account_pack_fr_01.png;ok;2;4;absent;3;buttons|background|icons;beside;hero_stacked;TRUE;TRUE;TRUE;TRUE;TRUE;liking|reciprocity;"rate_prominence: no explicit price shown in the body copy, the FAQ asks 'Combien coute le compte N26' without a visible numeric answer in the capture"
claude;belfius_other_fr_01;belfius;traditional;other;fr;https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx;data/raw/belfius/other_fr_01.png;ok;2;2;absent;1;text|background;overlaid;hero_stacked;FALSE;TRUE;TRUE;TRUE;TRUE;social_proof|authority;"layout_archetype: the stats section below the hero is itself a 5-card grid, but the overall page reads hero+stacked rather than a card_grid throughout"
claude;ing_savings_account_fr_01;ing;traditional;savings_account;fr;https://www.ing.be/fr/particuliers/epargner;data/raw/ing/savings_account_fr_01.png;ok;3;2;below_fold;2;buttons|text|icons;stacked;card_grid;FALSE;FALSE;TRUE;TRUE;FALSE;scarcity|reciprocity;"hub page listing many savings products rather than one offer, so clarity/value_prop/aida_action are all pulled down by the lack of a single focused pitch; rate_prominence: only a vague 'taux interessant' phrase, no number shown"
claude;bnp_paribas_fortis_mortgage_fr_01;bnp_paribas_fortis;traditional;mortgage;fr;https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire;data/raw/bnp_paribas_fortis/mortgage_fr_01.png;ok;4;4;absent;3;buttons|icons;beside;long_form;FALSE;FALSE;TRUE;TRUE;TRUE;commitment|reciprocity;"page is extremely long (11400px) so the downscaled capture is low-resolution - formality/clarity/aida_attention judged with reduced confidence, especially the cookie-covered hero"
claude;bnp_paribas_fortis_current_account_pack_fr_02;bnp_paribas_fortis;traditional;current_account_pack;fr;https://www.bnpparibasfortis.be/fr/public/particuliers/banque-au-quotidien/comptes-bancaires/compte-a-vue-comparer;data/raw/bnp_paribas_fortis/current_account_pack_fr_02.png;ok;3;3;above_fold;3;buttons|text|background;stacked;card_grid;FALSE;FALSE;TRUE;FALSE;FALSE;;"persuasion_levers: nothing clearly matched one of the six principles, page reads as a neutral fee-comparison table; aida_attention: cookie modal covers most of the comparison table on the first screen"
claude;revolut_current_account_pack_fr_01;revolut;challenger;current_account_pack;fr;https://www.revolut.com/fr-BE/bank-account/;data/raw/revolut/current_account_pack_fr_01.png;ok;2;5;hero;4;buttons;;hero_stacked;FALSE;TRUE;TRUE;TRUE;TRUE;social_proof|reciprocity;"text_image_layout left blank: the page has no photographic imagery, only small line icons, so per the guide's null rule this doesn't fit beside/stacked/overlaid; accent_locations: page is almost monochrome black/white, buttons is the only real accent use"
claude;ing_current_account_pack_fr_02;ing;traditional;current_account_pack;fr;https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more;data/raw/ing/current_account_pack_fr_02.png;ok;3;4;above_fold;4;buttons|icons|text;overlaid;long_form;FALSE;TRUE;TRUE;TRUE;FALSE;reciprocity|social_proof|scarcity;"same ING pack template as pack Go (fr_03) - extremely long page (12000px), legal text dominates the lower half; aida_action: cross-sell tiles to the other 3 packs compete for the same visitor"
