rater,page_id,bank,bank_category,product_family,language,url,screenshot_path,capture_quality,formality_score,clarity_score,rate_prominence,value_prop_clarity,accent_locations,text_image_layout,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,persuasion_levers,Notes
siegried,argenta_current_account_pack_fr_01,argenta,traditional,current_account_pack,fr,https://www.argenta.be/fr/formules/green.html#compte,data/raw/argenta/current_account_pack_fr_01.png,ok,3.0,2.0,absent,3.0,imagery,beside,hero_stacked,False,False,True,False,True,,
siegried,belfius_other_fr_01,belfius,traditional,other,fr,https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx,,ok,3.0,4.0,absent,4.0,buttons|imagery|text,overlaid,hero_stacked,False,True,True,True,True,commitment|liking|social_proof,
siegried,bnp_paribas_fortis_mortgage_fr_01,bnp_paribas_fortis,traditional,mortgage,fr,https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire,data/raw/bnp_paribas_fortis/mortgage_fr_01.png,ok,3.0,5.0,absent,3.0,imagery|buttons,overlaid,hero_stacked,False,True,True,True,True,commitment|liking|reciprocity,
siegried,bunq_current_account_pack_fr_01,bunq,challenger,current_account_pack,fr,https://www.bunq.com/fr-be/personal/plans/bunq-free,data/raw/bunq/current_account_pack_fr_01.png,ok,2.0,5.0,absent,4.0,imagery|background,beside,hero_stacked,True,True,True,True,True,liking,
siegried,crelan_current_account_pack_fr_01,crelan,traditional,current_account_pack,fr,https://www.crelan.be/fr/particuliers/payer/comptes-vue/produit/economy-plus-pack,data/raw/crelan/current_account_pack_fr_01.png,ok,3.0,5.0,above_fold,4.0,icons|background|buttons,overlaid,hero_stacked,False,False,True,True,True,liking,no authority cuz notice is mandatory by compliance
siegried,ing_current_account_pack_fr_02,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs,data/raw/ing/current_account_pack_fr_02.png,ok,3.0,4.0,below_fold,5.0,buttons|icons,,hero_stacked,True,False,True,True,True,reciprocity|scarcity|social_proof,"no images, first scarcity"
siegried,ing_current_account_pack_fr_03,ing,traditional,current_account_pack,fr,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go,data/raw/ing/current_account_go_fr_03.png,ok,3.0,5.0,above_fold,5.0,buttons|imagery|icons,overlaid,hero_stacked,True,False,True,True,True,reciprocity|scarcity|social_proof|authority,"rate at the beginning of the text, no authority cuz notice is mandatory by compliance"
siegried,ing_savings_account_fr_01,ing,traditional,savings_account,fr,https://www.ing.be/fr/particuliers/epargner,data/raw/ing/savings_account_fr_01.png,ok,3.0,3.0,absent,4.0,text,stacked,card_grid,False,False,True,True,True,scarcity|reciprocity,"hub page (>< produit), reciprocity for cashbacks (11%)"
siegried,kbc_current_account_pack_en_01,kbc,traditional,current_account_pack,en,https://www.kbc.be/retail/en/products/payments/current-accounts/open-a-basic-account.html?zone=topnav,,ok,2.0,5.0,above_fold,5.0,buttons|imagery|background,beside,split_columns,False,False,True,True,True,authority|liking,first authority
siegried,kbc_current_account_pack_fr_01,kbc,traditional,current_account_pack,fr,https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html?zone=topnav,,ok,,,,,,,,,,,,,,
siegried,n26_current_account_pack_fr_01,n26,challenger,current_account_pack,fr,https://n26.com/fr-fr/compte-bancaire-gratuit,,ok,,,,,,,,,,,,,,
siegried,revolut_current_account_pack_fr_01,revolut,challenger,current_account_pack,fr,https://www.revolut.com/fr-BE/bank-account/,data/raw/revolut/current_account_pack_fr_01.png,ok,,,,,,,,,,,,,,
