bank,digital,trust,cross_sell,personalisation,innovation,simplicity
argenta,6.7,0.0,10.0,1.2,0.0,0.0
belfius,5.0,0.0,10.0,1.2,5.0,2.5
beobank,3.3,0.0,10.0,1.2,0.0,2.5
bnp_paribas_fortis,10.0,0.0,10.0,2.5,0.0,2.5
bunq,10.0,0.0,10.0,2.5,5.0,5.0
cbc,6.7,0.0,0.0,1.2,5.0,0.0
crelan,0.0,0.0,10.0,1.2,5.0,2.5
hellobank,3.3,0.0,0.0,1.2,0.0,2.5
ing,7.8,0.0,10.0,3.8,1.7,2.5
kbc,4.4,0.0,0.0,1.2,5.0,0.0
keytrade,3.3,0.0,10.0,2.5,5.0,2.5
n26,3.3,0.0,0.0,1.2,0.0,2.5
revolut,6.7,3.3,10.0,5.0,10.0,2.5
vdk,3.3,0.0,10.0,1.2,5.0,2.5
