feature,dimension,traditional_mean,challenger_mean,difference,effect_size_d,n_traditional,n_challenger
background_luminance,colours_design,0.8581,0.2905,-0.5676,-4.18309115846213,10,2
subscription_style_framing,banking_domain,0.0,0.5,0.5,2.23606797749979,10,2
rate_shown,topics_value_prop,0.0,0.5,0.5,2.23606797749979,10,2
first_time_investor_targeting,banking_domain,0.0,0.5,0.5,2.23606797749979,10,2
total_image_area_ratio,visuals,0.10690000000000002,0.377,0.2701,2.095291661367295,10,2
above_fold_element_count,layout_structure,34.9,20.5,-14.399999999999999,-1.7733237096119487,10,2
page_height_px,layout_structure,5909.1,11570.0,5660.9,1.605318422863393,10,2
hero_image_area_ratio,visuals,0.26260000000000006,0.628,0.36539999999999995,1.578175143122296,10,2
aida_coverage_score,marketing_principles,2.8,3.5,0.7000000000000002,1.3728129459672889,5,2
question_count,tone_messaging,20.8,8.0,-12.8,-1.1306644053401174,10,2
cta_above_fold,layout_structure,0.1,0.5,0.4,1.0690449676496976,10,2
mentions_loyalty_or_referral,banking_domain,0.1,0.5,0.4,1.0690449676496976,10,2
urgency_marker_count,tone_messaging,0.5,1.5,1.0,1.0540925533894598,10,2
has_comparison_table,layout_structure,0.5,0.0,-0.5,-1.0,10,2
formality_score,tone_messaging,3.7,3.0,-0.7000000000000002,-0.8962581595302721,10,2
clarity_score,tone_messaging,4.6,5.0,0.40000000000000036,0.8164965809277267,5,2
youth_student_targeting,banking_domain,0.4,0.0,-0.4,-0.816496580927726,10,2
animated_asset_count,visuals,0.7,1.0,0.30000000000000004,0.6546536707079772,10,2
has_animation,visuals,0.7,1.0,0.30000000000000004,0.6546536707079772,10,2
is_bundled_offer,banking_domain,0.7,1.0,0.30000000000000004,0.6546536707079772,10,2
images_have_alt_text,banking_domain,0.3,0.0,-0.3,-0.6546536707079772,10,2
fast_digital_onboarding_claim,banking_domain,0.2,0.5,0.3,0.6546536707079771,10,2
hidden_conditions_behind_free_claim,banking_domain,0.2,0.5,0.3,0.6546536707079771,10,2
numeric_claim_count,tone_messaging,15.9,9.5,-6.4,-0.6473569376366981,10,2
cta_count,layout_structure,11.4,16.0,4.6,0.38515644241971186,10,2
branch_network_cited_as_benefit,banking_domain,0.1,0.0,-0.1,-0.3333333333333333,10,2
disclaimer_present,topics_value_prop,0.9,1.0,0.09999999999999998,0.3333333333333332,10,2
cta_contrast_ratio,colours_design,7.777777777777778,6.735,-1.0427777777777774,-0.26730042631243245,9,2
value_prop_clarity,topics_value_prop,4.6,4.5,-0.09999999999999964,-0.1714985851425082,5,2
section_count,layout_structure,26.0,21.0,-5.0,-0.10155555796279844,8,2
brand_colour_share,colours_design,0.011300000000000001,0.012,0.0006999999999999992,0.0391061452513966,10,2
image_count,visuals,21.4,21.0,-0.3999999999999986,-0.02083898703729181,10,2
green_product_specific_benefit,banking_domain,0.0,0.0,0.0,0.0,10,2
persuasion_lever_count,marketing_principles,2.5,2.5,0.0,0.0,4,2
accent_colour_count,colours_design,4.0,4.0,0.0,0.0,10,2
institutional_trust_signal_present,banking_domain,0.0,0.0,0.0,0.0,10,2
secondary_bank_positioning,banking_domain,0.0,0.0,0.0,0.0,10,2
expat_cross_border_targeting,banking_domain,0.0,0.0,0.0,0.0,10,2
people_present,visuals,1.0,0.0,-1.0,0.0,10,2
hero_image_present,visuals,1.0,1.0,0.0,0.0,10,2
senior_preretirement_targeting,banking_domain,0.0,0.0,0.0,0.0,10,2
