page_id,bank,bank_category,product_family,page_role,url,language,captured_at,collection_method,robots_allowed,snapshot_html_path,screenshot_path,data_source,extraction_model,capture_quality,http_status,shadow_hosts_flattened,capture_quality_note,word_count,sentence_count,avg_sentence_length,readability_score,readability_formula,readability_band,word_count_band,sentence_count_band,avg_sentence_length_band,second_person_ratio_band,first_person_plural_band,disclaimer_word_share_band,text_to_image_ratio_band,second_person_ratio,first_person_plural_count,question_count,urgency_marker_count,numeric_claim_count,formality_score,clarity_score,primary_product,rate_shown,rate_value_pct,rate_prominence,benefit_framing,fab_level,value_prop_clarity,disclaimer_present,disclaimer_word_share,image_count,hero_image_present,hero_image_area_ratio,total_image_area_ratio,animated_asset_count,has_animation,dominant_image_type,people_present,imagery_register,dominant_colour_hex,palette_hex,brand_colour_share,accent_colour_count,accent_locations,background_luminance,cta_contrast_ratio,page_height_px,section_count,cta_count,cta_above_fold,text_image_layout,text_to_image_ratio,above_fold_element_count,has_comparison_table,layout_archetype,mobile_first_design_signal,aida_attention,aida_interest,aida_desire,aida_action,aida_coverage_score,persuasion_levers,persuasion_lever_count,audience_segment,is_bundled_offer,cross_sell_delivery_model,rate_framing,primary_cta_type,switching_framing,regulatory_disclosure_prominence,hidden_conditions_behind_free_claim,esg_claim_specificity,green_product_specific_benefit,mentions_loyalty_or_referral,images_have_alt_text,meta_title,institutional_trust_signal_present,youth_student_targeting,secondary_bank_positioning,expat_cross_border_targeting,branch_network_cited_as_benefit,fast_digital_onboarding_claim,first_time_investor_targeting,senior_preretirement_targeting
kbc_current_account_pack_fr_01,kbc,traditional,current_account_pack,campaign_landing,https://www.kbc.be/particuliers/fr/produits/paiements/comptes-a-vue/ouvrir-un-compte-de-base.html,fr,2026-09-16 14:31:44.733572+00:00,headless_render,True,data/raw/kbc/current_account_pack_fr_01.html,data/raw/kbc/current_account_pack_fr_01.png,real,deepseek/deepseek-chat,ok,200,1,looks like a campaign page,2644,105,25.18,29.4,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.885,18,21,0,16,4,2,Compte Base KBC,True,100.0,absent,mixed,feature,2,True,0.003,8,True,0.174,0.042,1,True,photo,True,mixed,#ffffff,#ffffff|#fefefe|#adc1cf|#fffefe|#fffffe,0.001,4,,0.896,,3772,1,5,False,,330.5,43,True,,,False,False,False,True,1,authority,1,mixed,True,internal_advisor_led,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,True,Découvrez le Compte Base KBC - KBC Banque & Assurance,False,True,False,False,False,True,True,True
kbc_current_account_pack_nl_02,kbc,traditional,current_account_pack,campaign_landing,https://www.kbc.be/particulieren/nl/product/betalen/zichtrekeningen/basisrekening-openen.html,nl,2026-09-16 14:31:49.886151+00:00,headless_render,True,data/raw/kbc/current_account_pack_nl_02.html,data/raw/kbc/current_account_pack_nl_02.png,real,deepseek/deepseek-chat,ok,200,1,looks like a campaign page,2128,102,20.86,27.6,flesch_douma_nl,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.855,22,19,1,14,4,2,KBC-Basisrekening,True,100.0,absent,mixed,feature,2,True,0.003,8,True,0.174,0.042,1,True,photo,True,mixed,#ffffff,#ffffff|#f4f8fa|#7997af|#feffff|#fffffe,0.003,4,,0.86,12.24,3841,1,10,False,,266.0,44,True,,,False,False,False,False,0,authority,1,mixed,True,internal_advisor_led,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,True,Ontdek de KBC-Basisrekening - KBC Bank & Verzekering,False,True,False,False,False,False,True,True
n26_current_account_pack_fr_01,n26,challenger,current_account_pack,campaign_landing,https://n26.com/fr-fr/compte-bancaire-gratuit,fr,2026-09-16 14:31:57.136627+00:00,headless_render,True,data/raw/n26/current_account_pack_fr_01.html,data/raw/n26/current_account_pack_fr_01.png,real,deepseek/deepseek-chat,ok,200,1,looks like a campaign page,2019,90,22.43,42.1,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,balanced,0.78,24,8,0,9,3,4,N26 Standard,True,100.0,absent,mixed,benefit,3,True,0.038,29,True,0.963,0.587,1,True,photo,True,lifestyle,#293830,#293830|#efece8|#ffffff|#8a9990|#fcfcfb,0.024,4,,0.579,12.47,8005,9,11,False,,69.62,22,False,,,True,True,True,True,4,authority|liking,2,retail,True,partner_addon_digital,not_shown,self_service_online,not_applicable,not_applicable,True,no_claim,False,True,False,"N26 Standard, le compte bancaire gratuit",False,False,False,False,False,False,True,False
belfius_other_fr_01,belfius,traditional,other,campaign_landing,https://www.belfius.be/retail/fr/moments-cles/pension/index.aspx,fr,2026-09-16 14:32:04.676136+00:00,headless_render,True,data/raw/belfius/other_fr_01.html,data/raw/belfius/other_fr_01.png,real,deepseek/deepseek-chat,ok,200,206,looks like a campaign page,1354,45,30.09,27.0,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.606,26,8,0,2,3,2,Épargne-pension,True,94.0,absent,mixed,benefit,2,False,0.0,11,True,0.364,0.15,1,True,photo,True,lifestyle,#2a182b,#2a182b|#fdfdfd|#8b8787|#422e3b|#211525,0.001,4,,0.339,6.16,2179,28,9,False,,123.09,20,False,,,True,True,True,True,4,social_proof|authority|liking,3,retail,False,not_applicable,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,False,Optimisez votre pension - Belfius,False,True,False,False,False,False,True,True
ing_savings_account_fr_01,ing,traditional,savings_account,campaign_landing,https://www.ing.be/fr/particuliers/epargner,fr,2026-09-16 14:32:09.895098+00:00,headless_render,True,data/raw/ing/savings_account_fr_01.html,data/raw/ing/savings_account_fr_01.png,real,deepseek/deepseek-chat,ok,200,170,looks like a campaign page,1576,68,23.18,40.0,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,image_heavy,0.781,14,17,3,2,3,2,Compte à terme ING,True,11.0,absent,rational,feature,2,False,0.0,49,True,0.103,0.204,0,False,photo,True,lifestyle,#ffffff,#ffffff|#e8e8e8|#998c86|#fcfdfd|#fffcf9,0.0,4,,0.851,7.01,5730,1,2,False,,32.16,32,False,,,False,False,False,False,0,,,retail,False,not_applicable,promo_bonus,self_service_online,not_applicable,present_not_prominent,False,no_claim,False,False,False,Épargner en tant que particulier - ING Belgique,False,True,False,True,False,False,False,False
revolut_current_account_pack_fr_01,revolut,challenger,current_account_pack,campaign_landing,https://www.revolut.com/fr-BE/bank-account/,fr,2026-09-16 14:32:33.864303+00:00,headless_render,True,data/raw/revolut/current_account_pack_fr_01.html,data/raw/revolut/current_account_pack_fr_01.png,real,deepseek/deepseek-chat,ok,200,0,looks like a campaign page,1352,55,24.58,32.8,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.759,13,0,1,9,3,3,Compte courant,True,0.0,absent,mixed,benefit,3,False,0.0,10,True,1.0,0.243,1,True,illustration,True,mixed,#ffffff,#ffffff|#191c1f|#060607|#f5f5f5|#585a5c,0.0,4,,0.532,21.0,6615,10,7,False,,135.2,17,False,,,True,True,True,True,4,authority|social_proof|liking,3,mixed,True,partner_addon_digital,not_shown,self_service_online,not_applicable,present_not_prominent,False,no_claim,False,False,True,L'application financière tout-en-un pour votre argent | Revolut Belgique,True,True,False,True,False,False,True,False
ing_current_account_pack_fr_02,ing,traditional,current_account_pack,campaign_landing,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-more,fr,2026-09-16 14:32:40.712097+00:00,headless_render,True,data/raw/ing/current_account_pack_fr_02.html,data/raw/ing/current_account_pack_fr_02.png,real,deepseek/deepseek-chat,ok,200,263,looks like a campaign page,4217,218,19.34,49.6,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,heavy,text_heavy,0.846,24,18,1,32,3,1,pack ING More,False,,absent,mixed,benefit,1,True,0.494,33,True,0.533,0.101,1,True,photo,True,lifestyle,#ffffff,#ffffff|#f3f2f2|#ddc1b9|#fcfcfd|#fffcfa,0.027,4,,0.911,7.01,12088,,4,False,,127.79,24,False,,,False,False,False,False,0,,,retail,True,partner_addon_digital,not_shown,self_service_online,not_applicable,not_applicable,False,no_claim,False,False,False,Ouvrir un compte bancaire ING ? Choisissez le pack More - ING Belgique,False,True,False,True,False,False,False,False
ing_current_account_pack_fr_03,ing,traditional,current_account_pack,campaign_landing,https://www.ing.be/fr/particuliers/comptes-bancaire-packs/pack-go,fr,2026-09-16 14:32:46.288705+00:00,headless_render,True,data/raw/ing/current_account_pack_fr_03.html,data/raw/ing/current_account_pack_fr_03.png,real,deepseek/deepseek-chat,ok,200,185,looks like a campaign page,2080,113,18.41,58.1,kandel_moles_fr,medium,long,long,medium_sentences,mostly_direct,frequent,heavy,balanced,0.812,15,16,0,19,3,2,ING Go,False,,absent,mixed,advantage,2,True,0.326,28,True,0.533,0.165,1,True,photo,True,lifestyle,#ffffff,#ffffff|#efeeed|#cdbfc0|#fbfcfc|#fffcfa,0.004,4,,0.89,7.01,6842,,2,False,,74.29,29,False,,,False,False,False,False,0,,,retail,True,internal_advisor_led,not_shown,self_service_online,not_applicable,not_applicable,True,no_claim,False,False,False,Compte à vue gratuit ? ING Go pour bien démarrer - ING Belgique,False,True,False,True,False,True,False,False
argenta_current_account_pack_fr_01,argenta,traditional,current_account_pack,campaign_landing,https://www.argenta.be/fr/formules.html,fr,2026-09-16 14:32:51.624422+00:00,headless_render,True,data/raw/argenta/current_account_pack_fr_01.html,data/raw/argenta/current_account_pack_fr_01.png,real,deepseek/deepseek-chat,ok,200,0,looks like a campaign page,1831,46,39.8,20.3,kandel_moles_fr,very_hard,long,long,long_sentences,mostly_direct,frequent,minimal,text_heavy,0.746,16,4,2,33,4,3,La Formule Silver / La Formule Gold / La Formule Green,False,,absent,rational,feature,3,True,0.009,11,True,0.025,0.023,0,False,illustration,False,abstract,#ffffff,#ffffff|#b6bbb9|#f0f2f1|#fdfdfd|#fefffe,0.0,4,,0.886,4.94,3244,3,7,False,,166.45,34,True,,,False,True,False,True,2,authority,1,retail,True,not_applicable,not_shown,other,not_applicable,not_applicable,False,no_claim,False,False,False,Découvrez nos formules | Argenta,False,False,False,False,False,False,False,False
crelan_current_account_pack_fr_01,crelan,traditional,current_account_pack,campaign_landing,https://www.crelan.be/fr/particuliers/payer/comptes-vue/produit/economy-plus-pack,fr,2026-09-16 14:33:03.267976+00:00,headless_render,True,data/raw/crelan/current_account_pack_fr_01.html,data/raw/crelan/current_account_pack_fr_01.png,real,deepseek/deepseek-chat,ok,200,0,looks like a campaign page,2373,90,26.37,35.4,kandel_moles_fr,hard,long,long,long_sentences,mostly_direct,frequent,minimal,image_heavy,0.832,16,51,0,5,3,2,Performance Pack,False,,absent,rational,feature,2,False,0.0,76,True,0.004,0.002,1,True,photo,True,mixed,#ffffff,#ffffff|#f8f8f8|#72786f|#edeeee|#fffdff,0.006,4,,0.79,10.12,2945,162,42,False,,31.22,41,False,,,False,False,False,False,0,,,retail,True,not_applicable,not_shown,other,not_applicable,not_applicable,False,no_claim,False,False,True,Performance Pack | Crelan,False,True,False,False,False,False,False,False
bunq_current_account_pack_fr_01,bunq,challenger,current_account_pack,campaign_landing,https://www.bunq.com/fr-be/personal/plans/bunq-free,fr,2026-09-16 14:33:09.865190+00:00,headless_render,True,data/raw/bunq/current_account_pack_fr_01.html,data/raw/bunq/current_account_pack_fr_01.png,real,deepseek/deepseek-chat,ok,200,0,looks like a campaign page,1763,101,17.46,51.7,kandel_moles_fr,medium,long,long,medium_sentences,mostly_direct,frequent,heavy,text_heavy,0.889,8,8,3,10,2,3,Ton compte bancaire gratuit,True,3.01,below_fold,mixed,benefit,3,True,0.15,13,True,0.293,0.167,1,True,illustration,False,product,#000000,#000000|#141315|#2f363b|#000002|#0e0006,0.0,4,,0.002,1.0,15135,33,21,True,,135.62,19,False,,,True,True,True,True,4,authority|social_proof|liking,3,retail,True,partner_addon_digital,base_rate,self_service_online,not_applicable,not_applicable,True,no_claim,False,False,False,bunq Free : pas de frais mensuels,False,False,False,False,False,True,True,False
bnp_paribas_fortis_mortgage_fr_01,bnp_paribas_fortis,traditional,mortgage,campaign_landing,https://www.bnpparibasfortis.be/fr/public/particuliers/emprunter/pret-immobilier/pret-hypothecaire,fr,2026-09-16 12:42:30+00:00,manual_capture,True,data/raw/bnp_paribas_fortis/mortgage_fr_01.html,data/raw/bnp_paribas_fortis/mortgage_fr_01.png,real,deepseek/deepseek-chat,ok,,1,looks like a campaign page,3172,166,19.11,41.8,kandel_moles_fr,hard,long,long,medium_sentences,mostly_direct,frequent,minimal,text_heavy,0.681,73,32,1,10,4,3,Crédit hypothécaire,True,120.0,absent,mixed,advantage,3,True,0.031,20,True,,,0,False,photo,True,lifestyle,#a3ad9e,#a3ad9e|#60665a|#f7f8f8|#ffffff|#e9ecee,0.002,4,,0.618,,,21,10,False,,158.6,,True,,,False,True,True,True,3,authority,1,retail,False,not_applicable,not_shown,book_advisor_or_branch,not_applicable,prominent,False,vague_adjective_only,True,False,False,Prêt hypothécaire | BNP Paribas Fortis,False,True,False,False,False,False,False,False
generated_on_brand_term_account_fr,ing,traditional,term_account,campaign_landing,generated://on_brand,fr,2026-09-16T14:34:27.661771+00:00,static_fetch,True,,,llm_generated,deepseek/deepseek-chat,,,,,717,53,13.53,63.4,kandel_moles_fr,medium,long,long,medium_sentences,mostly_direct,frequent,minimal,image_heavy,0.578,46,4,0,0,,,,False,,,,,,True,0.026,37,True,,,0,False,,,,#ff6200,,,,,,,,2,3,True,,19.38,,False,long_form,,,,,,,authority|liking|social_proof|commitment,4,,,,,,,,,,,False,True,Et si votre compte à vue travaillait enfin pour vous ?,,,,,,,,
generated_challenger_style_term_account_fr,ing,traditional,term_account,campaign_landing,generated://challenger_style,fr,2026-09-16T14:34:35.968708+00:00,static_fetch,True,,,llm_generated,deepseek/deepseek-chat,,,,,405,34,11.91,62.4,kandel_moles_fr,medium,medium,medium,short_sentences,sometimes_direct,frequent,minimal,image_heavy,0.45,33,5,0,0,,,,False,,,,,,True,0.042,13,True,,,0,False,,,,#ff6200,,,,,,,,2,3,True,,31.15,,False,split_columns,,,,,,,authority|commitment|liking|reciprocity|social_proof,5,,,,,,,,,,,False,True,Et si votre compte à vue travaillait enfin pour vous ?,,,,,,,,
