,argenta,belfius,beobank,bnp_paribas_fortis,bunq,cbc,crelan,hellobank,ing,kbc,keytrade,n26,revolut,vdk
argenta,0.0,6.924908592473558,6.486005612997179,6.237151365146046,11.12713288067323,6.375340825780371,9.762504826731186,7.945607761144433,7.2711797342446705,6.734691535204085,8.771483907050982,10.408002442039127,11.273540352176642,6.523518938559625
belfius,6.924908592473558,0.0,7.812689777351999,8.094071851523191,8.786311754040018,6.6294815049402285,9.154971747527636,7.659962426653553,6.342447524742705,6.461878948196133,5.936809854406667,9.727156420117092,8.588185446912192,4.565913607127935
beobank,6.486005612997179,7.812689777351999,0.0,7.0745526070489975,11.41594435686955,7.246915773634009,8.505869419268787,7.417615556605951,7.98923611843864,7.590161887096156,8.021052439043109,9.208298632644954,11.213668913269634,6.926119293314842
bnp_paribas_fortis,6.237151365146046,8.094071851523191,7.0745526070489975,0.0,11.038990803431131,6.8861094598583,10.00635374657996,8.912963464450284,7.444493662187519,7.980913018884798,8.11807746721685,10.299360657326135,11.5474153348964,7.264048475028061
bunq,11.12713288067323,8.786311754040018,11.41594435686955,11.038990803431131,0.0,10.949605512956134,12.302421173582866,11.305950815176793,8.16424903643473,9.647876491368466,10.040349885558625,11.937170147309255,9.656087552450755,9.940959992120725
cbc,6.375340825780371,6.6294815049402285,7.246915773634009,6.8861094598583,10.949605512956134,0.0,8.99896921619889,7.76714407166002,8.634157278443679,5.349288049155553,7.724228533354132,10.636074718628276,10.967231038021769,5.125221368077737
crelan,9.762504826731186,9.154971747527636,8.505869419268787,10.00635374657996,12.302421173582866,8.99896921619889,0.0,9.339654808573588,10.011893487797927,8.338074674869237,8.041129259134314,11.642948443314625,11.68093731520713,8.654279950454232
hellobank,7.945607761144433,7.659962426653553,7.417615556605951,8.912963464450284,11.305950815176793,7.76714407166002,9.339654808573588,0.0,8.69554537961733,7.801973622364194,6.996613799598454,8.287766203746548,10.982588596123955,7.482536807633589
ing,7.2711797342446705,6.342447524742705,7.98923611843864,7.444493662187519,8.16424903643473,8.634157278443679,10.011893487797927,8.69554537961733,0.0,7.801249820224223,7.93849423822628,9.361164087531119,9.467640046218404,7.498180391211169
kbc,6.734691535204085,6.461878948196133,7.590161887096156,7.980913018884798,9.647876491368466,5.349288049155553,8.338074674869237,7.801973622364194,7.801249820224223,0.0,7.705312966369324,9.879398069180203,10.016155098499823,5.967059230238733
keytrade,8.771483907050982,5.936809854406667,8.021052439043109,8.11807746721685,10.040349885558625,7.724228533354132,8.041129259134314,6.996613799598454,7.93849423822628,7.705312966369324,0.0,9.115892634582478,8.868850820301718,5.956599721215505
n26,10.408002442039127,9.727156420117092,9.208298632644954,10.299360657326135,11.937170147309255,10.636074718628276,11.642948443314625,8.287766203746548,9.361164087531119,9.879398069180203,9.115892634582478,0.0,10.999106093213536,10.355564394706805
revolut,11.273540352176642,8.588185446912192,11.213668913269634,11.5474153348964,9.656087552450755,10.967231038021769,11.68093731520713,10.982588596123955,9.467640046218404,10.016155098499823,8.868850820301718,10.999106093213536,0.0,9.529406247196944
vdk,6.523518938559625,4.565913607127935,6.926119293314842,7.264048475028061,9.940959992120725,5.125221368077737,8.654279950454232,7.482536807633589,7.498180391211169,5.967059230238733,5.956599721215505,10.355564394706805,9.529406247196944,0.0
